"","school","sex","age","address","Pstatus","Medu","Fedu","failures","schoolsup","famsup","paid","activities","higher","romantic","famrel","freetime","goout","Dalc","Walc","G1","G2","G3","absencesIntervals","PC1","PC2","PC3","PC4","PC5"
"1","GP","F",18,"U","A",4,4,0,"yes","no","no","no","yes","no",4,3,4,1,1,0,11,11,"[0,8)",-1.35087673794017,-0.0996336267781501,2.24513825816041,0.691273025930322,-0.808281356239034
"2","GP","F",17,"U","T",1,1,0,"no","yes","no","no","yes","no",5,3,3,1,1,9,11,11,"[0,8)",-0.506726556395588,1.78518388890286,-0.468105220963342,0.877837677070013,-0.396239568580086
"3","GP","F",15,"U","T",1,1,0,"yes","no","no","no","yes","no",4,3,2,2,3,12,13,12,"[0,8)",0.102613476954853,0.621670504717418,-0.817556457378402,-0.477241409597734,1.29680476367293
"4","GP","F",15,"U","T",4,2,0,"no","yes","no","yes","yes","yes",3,2,2,1,1,14,14,14,"[0,8)",2.62149792890413,1.0790496929402,1.03002440515502,-0.590853268790619,0.797807968509357
"5","GP","F",16,"U","T",3,3,0,"no","yes","no","no","yes","no",4,3,2,1,2,11,13,13,"[0,8)",1.2579137752769,0.42893781911365,1.01420748134964,0.331132090878559,0.424515786279113
"6","GP","M",16,"U","T",4,3,0,"no","yes","no","yes","yes","no",5,4,2,1,2,12,12,13,"[0,8)",1.26920653079958,-0.336117908789507,1.26403731989478,0.95810317744919,-0.289791538367944
"7","GP","M",16,"U","T",2,2,0,"no","no","no","no","yes","no",4,4,4,1,1,13,12,13,"[0,8)",0.890118858571133,0.483202410521608,-0.412957926281667,1.30496190418287,-0.040297789890489
"8","GP","F",17,"U","A",4,4,0,"yes","yes","no","no","yes","no",4,1,4,1,1,10,13,13,"[0,8)",1.25352023884652,-0.00172156667453575,1.37653980337796,-0.425872724267948,-0.0468906246974202
"9","GP","M",15,"U","A",3,2,0,"no","yes","no","no","yes","no",4,2,2,1,1,15,16,17,"[0,8)",3.13588190432167,1.06133582537179,0.0241755812469083,-0.284285487766897,0.757002268595389
"10","GP","M",15,"U","T",3,4,0,"no","yes","no","yes","yes","no",5,5,1,1,1,12,12,13,"[0,8)",1.68814996321609,0.417187264088223,1.52158379207327,2.10843919674709,0.323350173960869
